classifier,target_class,family,id,fold,raw_score,p_lofo,label,kind
PLM_Domains,TPS,temperature,Q4WLD0,2,0.6369033268146734,0.9625349606504597,0,FP
PLM_Domains,TPS,temperature,A0A3G9GNJ4,1,0.6087281376313003,0.9235899974701226,0,FP
PLM_Domains,TPS,temperature,A0A3T0ZHL4,4,0.6018744911200983,0.9007391913461466,0,FP
PLM_Domains,TPS,temperature,Q93QX2,3,0.5522212560492655,0.7680101396442037,0,FP
PLM_Domains,TPS,temperature,P26170,3,0.5447378547407998,0.7358601591299512,0,FP
PLM_Domains,TPS,temperature,marts_E00518,0,0.5372612442269664,0.7208379410041547,0,FP
PLM_Domains,TPS,temperature,marts_E00519,0,0.5273534459890153,0.6672528326841726,0,FP
PLM_Domains,TPS,temperature,A0A0B4ZTQ2,1,0.5207419205224714,0.614934634264712,0,FP
PLM_Domains,TPS,temperature,Q9Z5D6,3,0.5152598541841724,0.586289282599515,0,FP
PLM_Domains,TPS,temperature,marts_E00322,0,0.5133467483161991,0.5840061775907542,0,FP
PLM_Domains,TPS,temperature,marts_E00520,0,0.5132116299564348,0.5831711901428075,0,FP
PLM_Domains,TPS,temperature,marts_E00205,0,0.5091627436429188,0.5579545740762674,0,FP
PLM_Domains,TPS,temperature,A0A455ZJC3,0,0.49233872777190657,0.45147831636544533,0,FP
PLM_Domains,TPS,temperature,marts_E00548,4,0.49035153906556794,0.4486861877646653,0,FP
PLM_Domains,TPS,temperature,marts_E00922,0,0.49067994512440904,0.4410593677781738,0,FP
PLM_Domains,TPS,temperature,marts_E00211,0,0.4739314663086512,0.34005680112694825,0,FP
PLM_Domains,TPS,temperature,Q4WBI5,4,0.453957254598418,0.2717790429699302,0,FP
PLM_Domains,TPS,temperature,marts_E00192,0,0.45765279104713863,0.25375415537513385,0,FP
PLM_Domains,TPS,temperature,marts_E00344,2,0.45143167802489764,0.24493852063535115,0,FP
PLM_Domains,TPS,temperature,marts_E00502,0,0.4495802875966525,0.2165970030882323,0,FP
PLM_Domains,TPS,temperature,marts_E00549,1,0.4420254561927214,0.21189773056338987,0,FP
PLM_Domains,TPS,temperature,marts_E00921,0,0.4456209156344131,0.19983273766415724,0,FP
PLM_Domains,TPS,temperature,marts_E00466,3,0.43289565899525007,0.17624773314250902,0,FP
PLM_Domains,TPS,temperature,marts_E00423,1,0.427202700611904,0.16061011359034852,0,FP
PLM_Domains,TPS,temperature,marts_E01204,2,0.42861603944551785,0.1596577784496696,0,FP
PLM_Domains,TPS,temperature,marts_E01235,0,0.25259882041822135,0.0010152656600979151,1,FN
PLM_Domains,TPS,temperature,marts_E00489,0,0.3579039021884565,0.02382089006352411,1,FN
PLM_Domains,TPS,temperature,marts_E01020,1,0.37002030280921877,0.04740113129435652,1,FN
PLM_Domains,TPS,temperature,marts_E00522,0,0.3953796231221961,0.06306730167633992,1,FN
PLM_Domains,TPS,temperature,marts_E00505,3,0.38587335665607814,0.06577891186418175,1,FN
PLM_Domains,TPS,temperature,marts_E01106,2,0.5004041792639835,0.5023347719051191,1,FN
PLM_Domains,TPS,temperature,marts_E00254,3,0.5038383052363693,0.5219033149015475,1,FN
PLM_Domains,TPS,temperature,marts_E01326,2,0.5042894885234968,0.5247590689513482,1,FN
PLM_Domains,TPS,temperature,marts_E01225,3,0.5189798339037528,0.6067595992303211,1,FN
PLM_Domains,TPS,temperature,marts_E01226,2,0.5340997722364749,0.6876488245455434,1,FN
PLM_Domains,TPS,temperature,marts_E01227,2,0.5343454380086592,0.688872486976304,1,FN
